День_тижня,Час_пари,Важливість_у_навчанні,Важливість_у_житті,Строгість_викладача,Відмічають_присутність,Дощ,Температура,Контрольна_або_залік,Вихідний_напередодні,Вихідний_завтра,Подія,Тижнів_до_екзамену,Попередня_пара,Наступна_пара,Тип_пари,Відвідуваність
Четвер,11:50,5,5,4,0,0,-4,0,0,0,0,9,0,0,Лабораторна,40
Четвер,11:50,1,4,3,0,0,24,0,1,0,0,12,0,1,Лекція,23
Пʼятниця,16:40,2,2,2,0,1,20,0,1,1,0,3,1,1,Лекція,14
Субота,8:30,2,3,3,0,0,-5,0,1,1,0,10,0,1,Лекція,17
Вівторок,18:10,5,5,5,1,0,-1,0,0,1,0,7,1,1,Лабораторна,40
Середа,11:50,1,1,3,0,1,1,0,1,0,0,2,1,0,Лекція,15
Середа,19:40,3,1,2,1,0,-8,0,1,1,0,0,0,0,Лекція,27
Четвер,16:40,4,1,2,0,0,-4,0,0,0,0,3,0,0,Лекція,20
Вівторок,10:10,2,4,2,1,1,9,0,1,0,0,2,0,0,Лабораторна,30
Середа,18:10,1,3,1,1,0,-1,0,0,0,0,8,1,1,Лекція,17
Субота,13:30,5,3,1,1,1,16,0,0,0,0,4,0,1,Лекція,29
Субота,19:40,5,5,5,1,0,-8,0,0,1,1,13,1,0,Лекція,29
Пʼятниця,19:40,1,1,1,1,0,34,0,1,0,0,4,0,0,Лабораторна,24
Вівторок,10:10,1,2,2,1,0,8,0,1,1,0,8,1,1,Лекція,18
Пʼятниця,15:05,2,1,4,0,0,4,0,1,0,0,0,0,1,Лекція,26
Субота,18:10,2,1,5,1,0,15,0,0,1,0,0,1,1,Лекція,32
Вівторок,16:40,5,5,5,1,1,21,0,1,1,0,8,1,0,Лекція,36
Пʼятниця,15:05,1,4,5,0,0,28,0,1,0,0,14,0,1,Лекція,27
Середа,10:10,4,5,4,1,1,14,0,1,1,0,2,1,0,Лекція,30
Середа,13:30,4,4,5,0,1,1,0,0,0,0,11,1,0,Лекція,35
Понеділок,8:30,5,5,1,0,0,0,0,1,1,0,7,1,1,Лекція,24
Вівторок,18:10,2,1,1,0,0,27,0,1,0,0,4,0,0,Лабораторна,24
Пʼятниця,8:30,5,5,5,0,1,12,0,1,1,0,3,1,1,Лабораторна,37
Понеділок,18:10,4,1,4,0,1,31,0,1,1,0,7,0,1,Лекція,21
Субота,15:05,2,2,5,0,1,1,1,1,1,1,1,0,0,Лекція,26
Середа,11:50,5,4,4,0,1,5,0,0,0,0,5,1,0,Лабораторна,40
Пʼятниця,19:40,5,5,3,1,0,24,0,0,1,0,13,0,1,Лабораторна,40
Четвер,19:40,4,3,5,1,1,14,0,0,1,0,11,0,1,Лекція,34
Середа,15:05,2,1,4,1,1,19,1,0,1,0,2,0,0,Лабораторна,33
Субота,19:40,2,1,3,1,0,-10,0,0,1,1,6,1,0,Лекція,11
Четвер,19:40,5,2,1,1,1,23,0,1,0,0,3,0,0,Лекція,25
Четвер,13:30,2,2,3,1,0,35,1,1,1,0,6,0,1,Лекція,26
Субота,16:40,5,2,4,1,1,4,0,0,1,0,8,1,0,Лекція,29
Субота,18:10,5,3,1,1,0,9,0,0,0,0,5,0,0,Лекція,28
Субота,15:05,3,5,1,1,0,33,0,0,1,0,4,0,1,Лекція,28
Понеділок,13:30,2,5,5,0,1,-10,1,0,1,0,15,0,1,Лекція,31
Вівторок,19:40,5,2,3,1,1,9,0,1,1,0,13,1,1,Лекція,24
Четвер,8:30,3,5,4,1,1,0,0,0,0,0,12,0,1,Лекція,32
Вівторок,19:40,3,4,5,0,0,26,0,1,1,0,13,1,1,Лабораторна,36
Вівторок,8:30,2,5,3,0,0,2,0,0,1,0,13,0,0,Лекція,29
Понеділок,15:05,5,1,4,0,0,35,0,1,1,0,6,1,1,Лекція,25
Вівторок,15:05,4,1,5,1,1,25,0,1,0,0,13,1,1,Лабораторна,33
Пʼятниця,16:40,4,4,2,0,0,24,0,1,0,0,11,1,0,Лекція,26
Пʼятниця,13:30,2,2,5,1,0,-2,0,0,0,0,13,0,0,Лекція,31
Субота,18:10,3,1,2,0,1,32,0,0,0,1,7,1,0,Лекція,5
Вівторок,13:30,5,2,5,0,1,18,0,0,0,0,1,0,0,Лекція,33
Понеділок,10:10,5,1,3,0,1,12,0,1,1,0,9,0,1,Лекція,23
Вівторок,8:30,2,3,3,1,1,19,1,1,1,0,15,0,0,Лекція,25
Четвер,11:50,4,5,3,1,0,3,0,0,1,0,6,0,0,Лабораторна,40
Субота,15:05,5,5,2,1,0,20,1,0,0,0,15,1,1,Лабораторна,40
Пʼятниця,11:50,3,2,3,0,1,-8,0,1,1,0,7,0,1,Лекція,16
Середа,16:40,5,5,2,1,1,22,0,0,0,0,6,1,0,Лекція,36
Середа,16:40,4,2,5,0,0,29,1,0,0,0,15,1,1,Лекція,36
Вівторок,8:30,3,3,3,0,1,-10,1,1,1,1,2,0,1,Лекція,14
Четвер,18:10,4,4,1,1,0,27,0,0,1,1,2,0,1,Лекція,21
Пʼятниця,13:30,3,4,1,1,1,12,0,0,0,1,8,1,0,Лабораторна,20
Четвер,10:10,3,1,2,1,1,13,0,1,0,1,6,1,1,Лекція,6
Пʼятниця,15:05,3,2,5,0,0,35,0,1,1,0,1,1,1,Лекція,28
Субота,18:10,4,5,4,1,0,-8,0,1,1,1,9,0,1,Лекція,23
Вівторок,19:40,4,2,1,0,1,8,0,0,0,0,6,0,1,Лекція,22
Понеділок,13:30,2,4,3,0,1,27,0,1,0,0,6,0,1,Лекція,23
Вівторок,18:10,1,4,4,0,1,-10,0,0,0,0,11,0,0,Лекція,23
Вівторок,16:40,1,5,2,0,0,6,0,0,1,0,8,1,1,Лекція,22
Вівторок,11:50,2,3,4,1,1,13,0,0,0,0,13,0,0,Лабораторна,32
Середа,13:30,1,2,3,0,0,29,0,0,1,0,3,1,1,Лекція,15
Понеділок,19:40,4,4,4,0,0,12,0,1,1,0,1,1,0,Лабораторна,40
Вівторок,8:30,4,2,3,1,0,-6,0,0,1,0,1,0,0,Лекція,34
Четвер,11:50,3,3,1,0,1,16,0,1,1,0,3,0,1,Лекція,18
Понеділок,10:10,4,4,5,0,1,-3,0,1,1,0,14,1,0,Лекція,25
Субота,11:50,5,1,5,0,1,31,0,1,0,0,5,0,1,Лекція,26
Середа,13:30,1,1,4,1,1,12,0,0,0,0,11,1,1,Лабораторна,28
Вівторок,16:40,4,4,5,0,1,11,0,1,0,0,13,0,0,Лекція,32
Четвер,10:10,2,4,1,1,1,13,0,0,1,0,6,0,0,Лабораторна,27
Вівторок,8:30,5,3,1,1,0,13,0,0,1,0,14,0,1,Лабораторна,38
Понеділок,15:05,2,2,2,1,1,28,0,0,0,0,15,0,1,Лекція,22
Понеділок,15:05,4,4,4,0,0,5,0,1,1,0,5,1,0,Лабораторна,30
Субота,10:10,5,4,4,1,0,-3,0,0,0,0,7,0,0,Лекція,36
Вівторок,19:40,5,4,1,0,0,-10,0,1,1,0,9,1,0,Лекція,26
Вівторок,8:30,2,1,1,1,0,26,0,0,1,0,8,1,0,Лекція,22
Пʼятниця,18:10,5,2,5,0,1,1,0,0,0,0,15,0,0,Лекція,30
Понеділок,19:40,1,1,3,0,1,30,0,0,1,0,6,1,1,Лекція,13
Понеділок,10:10,2,3,4,1,1,34,0,0,1,0,10,0,1,Лекція,21
Середа,8:30,5,3,2,0,0,20,0,0,1,0,11,0,0,Лабораторна,35
Четвер,19:40,5,5,4,1,1,27,0,0,0,0,2,1,1,Лекція,32
Четвер,8:30,1,2,1,0,0,34,1,1,1,0,2,1,0,Лекція,18
Субота,10:10,2,3,1,1,0,27,0,0,1,0,1,1,1,Лекція,24
Середа,15:05,1,3,2,0,0,10,0,0,0,0,4,1,0,Лекція,20
Пʼятниця,16:40,2,5,4,0,0,-10,1,1,0,0,0,0,1,Лекція,37
Понеділок,18:10,4,5,5,0,0,31,1,0,0,0,10,1,1,Лабораторна,40
Четвер,16:40,1,4,5,1,0,8,0,1,0,0,7,1,1,Лекція,28
Пʼятниця,8:30,4,2,2,1,0,17,0,0,1,0,10,1,1,Лабораторна,31
Четвер,10:10,2,2,5,0,1,7,1,1,1,0,14,1,1,Лекція,27
Субота,18:10,2,2,5,0,0,28,0,0,1,0,13,0,1,Лекція,26
Вівторок,19:40,5,4,3,1,0,20,0,1,1,1,1,1,1,Лабораторна,32
Понеділок,10:10,5,5,2,0,0,35,0,0,1,0,14,0,0,Лекція,30
Понеділок,10:10,3,4,3,0,0,-5,0,1,1,0,7,0,0,Лекція,24
Середа,15:05,4,4,4,1,1,12,0,1,0,0,8,1,1,Лекція,31
Вівторок,11:50,3,3,1,1,0,22,0,1,1,0,15,1,1,Лекція,19
Вівторок,11:50,1,2,4,0,1,24,0,1,0,0,11,1,1,Лекція,15
Середа,19:40,1,2,4,0,1,1,0,1,1,0,2,1,0,Лекція,18
Вівторок,13:30,1,1,3,0,1,-9,0,1,1,0,7,0,1,Лабораторна,19
Четвер,18:10,3,5,1,1,1,17,0,0,1,0,10,1,0,Лабораторна,32
Понеділок,11:50,1,3,1,1,1,20,1,0,1,0,13,1,1,Лабораторна,29
Понеділок,11:50,3,5,3,0,0,3,0,0,1,0,12,1,1,Лекція,29
Субота,16:40,3,3,3,1,1,15,0,0,1,0,10,0,0,Лекція,26
Середа,13:30,5,4,5,0,1,9,0,1,0,0,4,0,0,Лабораторна,40
Середа,11:50,5,4,1,0,0,2,0,0,1,0,5,1,1,Лекція,24
Субота,13:30,4,3,1,1,0,-3,0,0,1,0,14,1,1,Лекція,24
Пʼятниця,13:30,5,3,1,0,0,22,0,1,1,0,13,1,0,Лекція,29
Пʼятниця,16:40,3,2,5,0,0,14,1,0,1,0,6,0,0,Лекція,35
Понеділок,19:40,2,5,5,1,0,-1,0,0,0,0,14,0,1,Лекція,34
Середа,16:40,3,4,1,1,0,-7,1,0,1,0,4,1,1,Лабораторна,36
Пʼятниця,10:10,4,5,4,0,0,15,1,1,1,0,10,0,1,Лекція,35
Вівторок,8:30,3,1,1,0,1,-9,0,1,0,0,9,0,0,Лекція,12
Четвер,8:30,1,5,3,0,1,-7,0,1,1,0,4,1,0,Лабораторна,26
Середа,8:30,5,5,1,0,0,1,0,0,1,0,8,0,1,Лабораторна,35
Середа,13:30,5,5,4,0,1,4,0,0,0,0,15,1,0,Лекція,37
Пʼятниця,16:40,2,2,5,0,1,4,0,0,0,0,11,0,0,Лекція,24
Понеділок,16:40,5,4,5,1,1,5,1,0,1,0,3,0,0,Лекція,40
Вівторок,15:05,4,2,5,1,1,23,0,0,1,0,10,0,1,Лекція,30
Пʼятниця,18:10,1,2,1,1,0,3,0,0,1,0,8,0,0,Лекція,20
Субота,16:40,3,2,2,0,1,33,0,0,0,0,0,0,1,Лабораторна,27
Середа,18:10,1,1,2,0,0,27,0,0,0,1,5,1,0,Лекція,10
Пʼятниця,15:05,5,5,2,1,1,5,0,1,1,0,6,0,1,Лекція,33
Середа,18:10,2,1,4,1,0,26,1,1,0,0,11,0,1,Лекція,31
Четвер,10:10,4,4,4,1,0,26,0,1,0,0,6,0,0,Лекція,36
Четвер,13:30,3,2,1,0,1,5,0,1,0,0,6,1,0,Лабораторна,23
Вівторок,11:50,1,4,3,0,0,1,0,0,1,0,6,1,0,Лекція,24
Пʼятниця,11:50,1,5,4,0,0,32,1,0,0,0,6,0,0,Лекція,36
Понеділок,8:30,1,2,1,1,0,20,1,1,0,0,3,1,0,Лекція,24
Середа,11:50,2,5,3,1,0,11,0,1,1,0,10,1,0,Лабораторна,34
Вівторок,10:10,4,1,1,0,1,6,0,1,1,1,7,1,0,Лабораторна,12
Субота,10:10,4,3,2,1,0,-2,0,0,1,0,7,1,0,Лабораторна,34
Вівторок,8:30,5,5,1,0,1,28,0,0,1,0,7,1,1,Лекція,25
Четвер,15:05,3,1,4,0,0,25,0,1,0,0,8,0,0,Лекція,21
Понеділок,13:30,3,2,2,0,0,23,0,0,0,0,1,1,0,Лекція,26
Середа,19:40,1,5,3,1,1,35,0,1,1,0,13,1,0,Лабораторна,30
Пʼятниця,16:40,3,5,5,1,1,10,1,0,1,0,8,1,1,Лабораторна,40
Пʼятниця,8:30,4,1,1,0,1,31,0,1,1,0,11,1,0,Лекція,17
Вівторок,10:10,2,4,1,0,1,-2,0,1,0,0,1,1,1,Лабораторна,24
Субота,11:50,3,5,4,1,1,9,0,0,0,0,6,1,1,Лекція,34
Понеділок,13:30,4,5,2,1,1,23,0,1,0,0,10,1,1,Лабораторна,32
Пʼятниця,16:40,1,5,1,1,1,-9,0,1,0,0,10,0,1,Лекція,19
Четвер,15:05,5,3,5,0,1,30,0,0,1,0,8,0,1,Лекція,29
Вівторок,11:50,2,2,1,0,0,33,0,0,1,0,12,0,1,Лекція,16
Вівторок,13:30,2,3,3,0,1,13,0,0,1,0,15,1,1,Лекція,21
Пʼятниця,16:40,4,5,3,1,1,-1,0,0,1,1,4,1,1,Лекція,19
Середа,10:10,1,1,2,0,1,27,1,1,1,0,13,1,0,Лабораторна,22
Субота,19:40,4,4,2,1,0,27,0,0,1,0,6,0,0,Лекція,32
Субота,11:50,3,5,3,1,1,28,0,0,0,0,0,1,1,Лекція,34
Вівторок,18:10,5,5,5,0,0,31,0,1,1,0,8,0,0,Лекція,35
Понеділок,13:30,5,1,1,1,0,19,0,1,1,0,6,1,1,Лабораторна,27
Четвер,13:30,5,4,5,0,0,17,0,1,0,0,4,0,1,Лабораторна,40
Четвер,11:50,2,5,4,1,0,-6,0,1,1,0,3,1,0,Лекція,26
Середа,18:10,5,1,4,0,0,15,0,0,1,1,5,0,0,Лабораторна,28
Четвер,11:50,5,2,1,0,1,35,0,0,1,1,12,1,1,Лекція,8
Понеділок,8:30,4,1,5,0,1,0,0,1,1,0,0,0,1,Лекція,25
Вівторок,10:10,3,2,1,1,1,11,0,0,0,0,9,1,1,Лекція,23
Середа,19:40,4,5,1,1,0,30,0,1,0,0,1,1,1,Лабораторна,38
Середа,16:40,2,2,1,0,0,23,0,0,0,0,12,1,0,Лекція,17
Пʼятниця,15:05,1,3,5,0,0,13,0,1,1,0,6,0,1,Лекція,22
Вівторок,15:05,2,4,2,1,0,7,0,0,0,0,4,1,1,Лекція,28
Четвер,13:30,2,2,2,1,0,12,1,1,1,1,15,0,1,Лекція,17
Субота,13:30,5,2,3,1,1,28,1,1,0,0,4,1,1,Лабораторна,39
Понеділок,11:50,1,5,4,1,1,24,0,1,1,0,10,1,1,Лекція,22
Понеділок,19:40,3,4,1,0,0,20,0,1,0,0,3,1,0,Лекція,22
Вівторок,19:40,1,2,1,0,0,4,0,1,0,0,15,1,1,Лекція,16
Пʼятниця,10:10,5,1,4,0,1,33,0,1,0,0,4,1,1,Лекція,24
Четвер,10:10,3,3,2,0,1,16,0,0,1,0,15,1,0,Лекція,20
Вівторок,10:10,3,4,5,0,1,19,1,1,1,0,6,1,0,Лабораторна,39
Субота,11:50,4,1,3,0,0,9,0,0,1,1,6,0,0,Лабораторна,21
Субота,13:30,3,3,1,1,0,31,0,0,1,0,15,1,0,Лекція,24
Четвер,19:40,3,2,4,0,0,34,0,1,1,0,1,0,1,Лекція,22
Субота,15:05,2,2,1,0,0,32,0,1,1,0,11,1,0,Лекція,14
Пʼятниця,8:30,2,2,1,1,1,17,0,1,1,0,0,1,1,Лабораторна,28
Четвер,18:10,2,2,3,0,1,11,0,0,1,0,3,0,0,Лабораторна,25
Середа,16:40,5,3,3,0,1,29,1,0,0,0,1,1,0,Лабораторна,40
Понеділок,8:30,3,1,1,1,1,20,0,1,0,0,13,1,0,Лекція,20
Пʼятниця,16:40,5,1,1,0,0,3,0,0,0,0,0,0,1,Лекція,27
Понеділок,16:40,4,3,3,1,1,26,0,0,0,0,2,1,0,Лекція,27
Пʼятниця,16:40,1,1,1,1,0,33,0,0,0,0,8,0,0,Лабораторна,23
Субота,15:05,3,1,5,0,1,9,1,1,0,0,1,0,1,Лекція,33
Четвер,18:10,3,2,4,0,1,33,0,0,1,0,12,1,0,Лекція,22
Вівторок,16:40,5,3,2,1,1,12,0,0,1,0,15,1,1,Лекція,28
Середа,16:40,5,2,1,0,1,13,1,0,0,0,12,1,0,Лекція,28
Понеділок,15:05,1,3,5,0,0,34,0,0,1,0,15,1,1,Лабораторна,29
Субота,11:50,4,2,5,1,1,16,0,1,1,0,14,1,0,Лекція,30
Субота,13:30,1,5,3,0,0,23,0,1,0,0,0,0,1,Лекція,28
Понеділок,16:40,3,2,1,1,0,10,0,1,1,0,13,1,0,Лекція,20
Субота,11:50,4,1,5,1,1,25,0,0,1,1,9,1,1,Лекція,16
Вівторок,19:40,2,3,4,0,0,25,0,1,1,0,8,0,0,Лекція,27
Субота,18:10,1,4,3,0,1,-6,0,0,0,0,1,1,0,Лабораторна,32
Субота,13:30,5,5,4,1,1,21,0,1,1,0,2,0,1,Лекція,31
Вівторок,16:40,1,5,2,0,1,21,0,0,1,0,2,0,1,Лабораторна,25
Понеділок,15:05,4,1,4,0,0,31,1,0,1,0,2,1,1,Лабораторна,40
Субота,16:40,4,3,4,0,1,21,0,0,0,0,12,1,0,Лабораторна,36
Четвер,18:10,1,2,3,1,0,-10,0,0,0,0,2,0,1,Лабораторна,29
Пʼятниця,15:05,1,5,1,1,0,24,0,1,0,1,15,0,1,Лекція,11
Пʼятниця,18:10,3,3,3,0,0,-7,1,1,1,0,9,1,1,Лекція,27
Четвер,16:40,3,3,3,0,1,23,0,0,0,0,8,0,1,Лекція,25
Субота,16:40,4,5,3,1,0,34,1,0,1,0,6,0,1,Лекція,40
Середа,13:30,4,2,2,1,0,24,0,0,0,0,4,0,0,Лекція,35
Пʼятниця,15:05,5,1,2,0,1,11,1,1,1,0,3,1,0,Лабораторна,35
Вівторок,19:40,3,4,2,1,1,-9,0,0,1,0,9,0,0,Лекція,27
Середа,13:30,5,2,2,0,0,17,0,1,0,0,3,0,1,Лекція,25
Понеділок,10:10,1,4,5,0,0,6,0,1,1,0,7,1,1,Лабораторна,32
Понеділок,15:05,3,2,2,0,0,14,0,0,0,0,9,0,1,Лекція,26
Пʼятниця,10:10,5,1,5,1,0,14,0,1,1,0,15,1,1,Лекція,33
Четвер,15:05,3,4,2,0,1,24,0,1,1,0,15,0,0,Лекція,24
Пʼятниця,8:30,5,1,4,1,0,19,0,1,1,0,0,1,1,Лекція,32
Понеділок,15:05,5,4,4,1,0,19,0,1,1,0,7,1,0,Лекція,34
Пʼятниця,11:50,5,4,2,0,1,3,0,0,0,0,4,0,0,Лекція,27
Понеділок,15:05,2,2,2,1,0,30,1,0,1,0,7,0,1,Лекція,35
Середа,15:05,3,1,4,0,1,12,0,0,0,0,12,1,1,Лекція,22
Пʼятниця,15:05,4,1,3,0,0,-5,0,0,0,0,13,1,0,Лекція,25
Субота,13:30,4,1,3,0,0,35,0,0,0,0,1,0,1,Лекція,26
Понеділок,19:40,4,4,2,1,0,34,0,0,0,0,6,0,1,Лекція,29
Субота,13:30,1,5,1,1,0,2,0,0,0,0,12,0,0,Лекція,27
Пʼятниця,18:10,2,2,3,1,0,11,0,1,0,0,4,0,0,Лекція,22
Вівторок,13:30,1,3,1,1,0,27,0,1,1,1,4,1,0,Лекція,7
Субота,19:40,4,5,5,0,0,0,0,1,0,0,8,1,1,Лекція,31
Субота,10:10,5,4,1,1,1,25,0,1,1,0,1,0,0,Лабораторна,39
Вівторок,19:40,3,4,5,0,1,12,0,1,0,0,12,0,0,Лабораторна,35
Субота,10:10,3,3,5,1,1,6,0,0,1,0,0,0,1,Лекція,31
Понеділок,16:40,2,1,4,1,1,20,1,0,1,0,1,0,1,Лекція,35
Пʼятниця,16:40,2,5,1,0,1,31,0,1,0,0,13,1,1,Лабораторна,23
Середа,18:10,5,2,3,0,1,15,0,0,0,0,0,1,1,Лекція,29
Понеділок,16:40,2,4,1,0,1,-10,1,0,0,1,7,0,1,Лекція,16
Четвер,10:10,2,4,4,0,0,-8,0,0,1,0,5,1,0,Лекція,29
Субота,18:10,2,4,3,0,0,5,0,1,0,0,6,1,0,Лекція,25
Середа,19:40,2,1,2,0,1,24,0,0,1,0,15,0,1,Лекція,17
Субота,11:50,3,4,5,1,1,29,0,0,0,0,15,1,1,Лекція,33
Пʼятниця,13:30,5,4,3,0,1,27,0,0,0,1,5,1,0,Лекція,21
Субота,19:40,1,5,1,0,1,-4,0,1,1,0,11,0,0,Лекція,16
Вівторок,16:40,4,1,1,1,1,20,0,0,0,0,12,0,1,Лабораторна,30
Пʼятниця,16:40,3,1,4,0,0,5,1,0,0,0,3,1,1,Лабораторна,35
Пʼятниця,11:50,4,3,5,1,1,14,0,1,0,0,11,0,0,Лекція,33
Понеділок,11:50,2,4,1,0,1,30,0,0,1,0,5,1,0,Лабораторна,25
Четвер,18:10,2,4,3,1,0,19,0,0,0,0,7,1,1,Лабораторна,32
Понеділок,15:05,3,1,1,0,0,-9,0,1,0,0,4,1,0,Лабораторна,22
Середа,8:30,1,2,5,0,1,24,0,0,1,0,11,0,0,Лабораторна,31
Середа,11:50,4,5,1,1,0,24,0,1,1,0,0,1,0,Лабораторна,38
Субота,19:40,4,2,4,0,1,21,0,0,0,0,13,0,0,Лекція,29
Понеділок,13:30,2,3,3,0,1,13,0,0,0,0,10,1,1,Лекція,19
Пʼятниця,11:50,3,1,2,0,0,31,0,1,0,0,9,1,1,Лекція,17
Вівторок,13:30,4,1,5,1,0,29,1,1,1,0,5,0,1,Лекція,40
Пʼятниця,16:40,1,1,5,0,0,4,0,0,0,1,8,0,1,Лекція,14
Пʼятниця,16:40,4,3,5,1,0,14,1,1,0,0,7,0,1,Лекція,39
Понеділок,16:40,1,4,4,0,0,-5,0,0,1,0,8,0,0,Лекція,25
Вівторок,18:10,4,4,2,0,0,-10,0,0,0,0,7,0,1,Лекція,25
Субота,13:30,4,4,3,0,0,-5,0,0,0,0,12,1,1,Лабораторна,37
Пʼятниця,16:40,5,3,3,1,1,29,0,1,0,0,3,1,0,Лекція,30
Середа,16:40,1,3,2,1,0,8,0,0,1,0,1,0,1,Лекція,26
Субота,16:40,2,5,4,1,1,17,0,1,0,0,8,1,0,Лекція,25
Вівторок,18:10,3,2,5,0,1,1,1,1,0,0,12,1,0,Лекція,33
Вівторок,18:10,3,1,5,0,0,-8,0,0,1,0,7,1,1,Лабораторна,31
Вівторок,11:50,2,3,5,1,1,4,0,0,0,0,7,0,0,Лекція,30
Середа,19:40,5,4,4,0,1,2,0,1,0,0,10,0,0,Лекція,31
Субота,18:10,1,5,1,1,1,30,0,0,0,0,3,1,0,Лекція,24
Вівторок,10:10,5,3,4,0,1,21,0,1,0,0,5,1,1,Лабораторна,35
Вівторок,11:50,2,1,2,0,1,14,1,0,1,0,12,0,0,Лекція,28
Пʼятниця,11:50,3,3,3,0,1,29,0,0,1,0,15,0,0,Лекція,25
Пʼятниця,19:40,5,1,2,1,0,13,0,1,0,0,4,1,1,Лекція,28
Четвер,15:05,1,4,5,0,0,30,0,1,1,0,12,1,0,Лекція,26
Пʼятниця,15:05,3,4,4,0,0,-10,0,0,0,0,6,1,0,Лекція,28
Субота,11:50,3,3,5,1,1,-10,0,0,1,0,7,1,1,Лабораторна,32
Четвер,10:10,5,5,4,1,0,0,0,0,1,0,13,0,0,Лекція,39
Середа,10:10,1,3,2,0,0,3,0,1,1,0,6,1,0,Лекція,21
Четвер,18:10,1,4,3,1,1,5,0,1,0,0,9,0,1,Лабораторна,28
Четвер,13:30,1,2,2,1,1,-5,0,0,1,0,4,0,0,Лабораторна,24
Субота,16:40,1,1,3,0,0,12,0,0,0,0,2,0,0,Лекція,23
Четвер,13:30,4,5,3,1,1,-3,0,0,1,0,2,1,0,Лекція,33
Четвер,15:05,2,2,5,0,1,6,0,0,1,0,3,0,0,Лекція,23
Середа,13:30,3,3,3,1,0,23,1,0,0,1,13,0,0,Лекція,27
Четвер,13:30,5,2,4,1,0,0,0,1,0,0,11,1,1,Лекція,33
Вівторок,19:40,3,4,3,1,0,30,0,1,0,0,3,1,1,Лабораторна,37
Четвер,10:10,5,3,3,1,0,18,0,1,0,0,5,0,1,Лабораторна,39
Понеділок,10:10,2,5,3,0,1,4,0,1,1,0,4,0,0,Лекція,25
Пʼятниця,10:10,2,3,1,1,1,4,0,1,0,0,14,0,1,Лекція,16
Субота,11:50,3,1,3,0,0,5,0,1,0,0,7,0,1,Лекція,22
Середа,16:40,2,4,4,1,1,22,0,0,1,0,7,1,0,Лекція,23
Четвер,15:05,4,5,5,1,1,28,0,1,0,0,13,1,0,Лабораторна,40
Четвер,15:05,3,1,3,0,0,-3,1,0,0,0,13,1,1,Лекція,25
Вівторок,16:40,1,3,4,0,0,29,0,0,1,0,2,1,1,Лекція,22
Четвер,10:10,4,4,3,0,0,30,0,0,0,0,5,0,1,Лекція,28
Пʼятниця,11:50,4,3,2,1,0,14,0,1,0,0,15,1,1,Лекція,26
Четвер,11:50,3,5,5,1,0,30,0,0,1,0,11,0,0,Лекція,36
Вівторок,15:05,4,3,4,1,1,28,0,1,1,0,8,0,0,Лекція,34
Понеділок,11:50,1,5,3,0,0,34,0,0,1,0,5,0,0,Лабораторна,28
Пʼятниця,11:50,4,1,4,1,0,-5,0,0,1,0,1,1,1,Лекція,33
Понеділок,10:10,1,5,5,1,1,-6,0,1,0,1,7,1,1,Лекція,16
Четвер,19:40,4,3,3,0,0,18,0,1,0,0,1,1,0,Лекція,29
Понеділок,15:05,5,1,2,0,0,18,0,1,0,0,11,1,1,Лекція,22
Субота,10:10,5,4,1,0,0,4,0,1,0,0,3,1,1,Лабораторна,29
Субота,11:50,3,3,4,1,0,-2,0,0,0,0,14,0,1,Лекція,33
Четвер,8:30,4,2,5,0,1,23,0,0,1,0,11,1,0,Лабораторна,34
Середа,13:30,1,3,3,0,1,5,0,1,0,0,11,0,0,Лекція,22
Середа,16:40,3,5,4,0,1,22,0,1,1,0,0,1,1,Лекція,27
Субота,11:50,4,5,2,0,0,0,0,1,1,1,14,0,0,Лекція,19
Середа,19:40,4,2,1,0,0,14,0,0,1,0,13,0,0,Лекція,24
Понеділок,15:05,3,5,1,0,1,35,1,1,1,0,3,0,0,Лабораторна,35
Пʼятниця,15:05,1,1,4,0,0,-6,0,1,0,0,7,1,0,Лекція,22
Пʼятниця,13:30,5,1,3,0,1,8,0,0,1,0,15,0,0,Лекція,26
Середа,13:30,4,2,5,1,0,19,0,1,1,0,11,0,1,Лекція,28
Середа,13:30,3,3,1,1,1,28,1,0,0,0,10,1,1,Лекція,29
Середа,11:50,5,4,5,1,1,22,0,1,0,0,10,0,0,Лабораторна,40
Четвер,13:30,5,4,1,1,1,-3,0,1,0,0,0,0,1,Лабораторна,38
Субота,10:10,2,2,3,1,1,29,0,0,1,0,8,1,0,Лекція,23
Вівторок,13:30,5,5,1,1,0,6,0,0,1,0,14,0,0,Лекція,34
Четвер,10:10,1,3,2,1,1,20,0,1,1,0,13,0,1,Лекція,18
Пʼятниця,13:30,2,1,2,0,0,-3,0,0,0,1,15,1,0,Лекція,10
Четвер,8:30,3,1,5,1,0,28,0,1,0,0,5,0,0,Лабораторна,39
Четвер,11:50,2,4,2,1,0,26,0,0,0,1,8,0,0,Лекція,18
Середа,18:10,4,1,3,1,1,-4,0,1,1,0,0,1,1,Лекція,22
Пʼятниця,18:10,4,4,3,0,1,34,0,1,1,0,5,1,0,Лекція,22
Пʼятниця,11:50,5,3,4,0,1,35,0,1,0,0,8,0,1,Лекція,26
Субота,13:30,2,4,2,1,0,35,1,1,0,0,5,0,1,Лекція,30
Четвер,11:50,3,5,4,1,0,26,0,0,0,1,3,1,1,Лекція,27
Четвер,10:10,1,5,3,1,1,1,0,1,0,0,1,1,1,Лекція,28
Понеділок,11:50,1,2,1,0,1,6,0,0,1,0,14,1,0,Лабораторна,21
